,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
89,유브갓프렌즈㈜,회사에서 함께할 신입.경력 개발자를 모집합니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30413304?Oem_Code=C1&logpath=1,신입·경력1년↑,초대졸↑,서울 금천구,~01/01(수)
90,메가존㈜,[메가존] 인공지능 플랫폼 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30394504?Oem_Code=C1&logpath=1,경력4년↑,학력무관,서울 강남구,~12/31(화)
91,㈜대코에이디케이,"각 부분별 경력 직원 채용(연구개발, 기술영업, 기술지원, 통역 및 사무보조)",http://www.jobkorea.co.kr//Recruit/GI_Read/30372969?Oem_Code=C1&logpath=1,경력4년↑,초대졸↑,경기 용인시 외,~12/27(금)
92,메디리타,인공지능 S/W 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30370933?Oem_Code=C1&logpath=1,경력2년↑,학력무관,서울 구로구 외,~12/27(금)
93,㈜자이냅스,Software Engineer - ML/DL,http://www.jobkorea.co.kr//Recruit/GI_Read/30349815?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/25(수)
94,지티씨솔루션,Data Scientist and Data Engineer 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30348504?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 성동구 외,~12/31(화)
95,㈜아이셋디에이,[판교] AI 기반 어플리케이션 개발 경력채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30343049?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,경기 성남시,~12/25(수)
96,리얼타임비쥬얼㈜,"인공지능/딥러닝, 자율지능 드론/로봇, 시뮬레이션 연구개발 인재 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30342926?Oem_Code=C1&logpath=1,경력무관,석사↑,서울 마포구,~01/24(금)
97,그렉터,"IoT SW개발자, 데이터사업본부 팀원 채용합니다",http://www.jobkorea.co.kr//Recruit/GI_Read/30314261?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 송파구,상시채용
98,㈜제일에프에이,[제일에프에이] 스마트팩토리 - 머신비전 경력직 충원,http://www.jobkorea.co.kr//Recruit/GI_Read/30307398?Oem_Code=C1&logpath=1,경력6년↑,대졸↑,경기 수원시,~12/20(금)
99,큐픽스,[판교] RND(신입/경력/병역특례/전문연구요원)  (분야:3D/VR/AR),http://www.jobkorea.co.kr//Recruit/GI_Read/30303797?Oem_Code=C1&logpath=1,경력무관,대졸↑,경기 성남시,~12/20(금)
100,트윔,(주)트윔 병역특례 전문연구요원 모집(전직자 가능),http://www.jobkorea.co.kr//Recruit/GI_Read/30303061?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 화성시,~12/20(금)
101,모닛,AI기반 머신비전/시계열 데이터 패턴인식 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30298888?Oem_Code=C1&logpath=1,경력3년↑,석사↑,서울 동작구,~12/19(목)
102,㈜엔디소프트,인공지능(AI) 부문 채용 공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30295772?Oem_Code=C1&logpath=1,경력무관,학력무관,부산 전지역,~12/19(목)
103,번개장터㈜,백엔드 개발자 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30290632?Oem_Code=C1&logpath=1,경력,학력무관,서울 서초구,~12/19(목)
104,㈜비스텔,[비스텔] AI/빅데이터-Data Scientist 연구개발 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30284533?Oem_Code=C1&logpath=1,신입·경력2년↑,대졸↑,서울 서초구,~12/18(수)
105,엠씨지컨설팅㈜,인공지능(AI) 전문 개발자 채용 건,http://www.jobkorea.co.kr//Recruit/GI_Read/30281913?Oem_Code=C1&logpath=1,경력1년↑,초대졸↑,서울 영등포구,~12/18(수)
106,넥스트케이,㈜넥스트케이 연구개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30281376?Oem_Code=C1&logpath=1,신입·경력,초대졸↑,경기 성남시,~01/17(금)
107,㈜뉴냅스,"[서울아산병원 연구중심병원 육성과제] 인공지능 연구개발 담당자 (신입, 경력)",http://www.jobkorea.co.kr//Recruit/GI_Read/30279032?Oem_Code=C1&logpath=1,신입·경력1년↑,초대졸↑,서울 송파구,~12/18(수)
108,㈜시큐인포,영상보안 S/W 개발자 모집 (Visual C++ / C++),http://www.jobkorea.co.kr//Recruit/GI_Read/30274213?Oem_Code=C1&logpath=1,경력5년↑,대졸↑,경기 성남시,~01/17(금)
109,㈜비자림,[신입]-스마트공장 솔루션-이미지처리 및 인공지능,http://www.jobkorea.co.kr//Recruit/GI_Read/30260472?Oem_Code=C1&logpath=1,신입,대졸↑,서울 강동구,~12/15(일)
110,더조은아이티아카데미학원,[메가스터디교육그룹-더조은컴퓨터아카데미]종로캠퍼스 국기/실업자/재직자 강사 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30249943?Oem_Code=C1&logpath=1,경력,학력무관,서울 종로구,~12/14(토)
111,중앙정보기술인재개발원,[훈련수당240만원지급] 웹(자바)프로그래밍 및 JAVA기반 SW엔지니어 무료교육 과정,http://www.jobkorea.co.kr//Recruit/GI_Read/30501653?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 강남구 외,~12/14(토)
112,서울엔지니어링㈜,"개발자(프로그래머) 모집 : 영상처리, 장비제어, 딥러링, 응용프로그램",http://www.jobkorea.co.kr//Recruit/GI_Read/30490090?Oem_Code=C1&logpath=1,신입,대졸↑,경기 성남시,~12/16(월)
113,데이터복구연구소,[신입/경력] 데이터복구 및 컴퓨터 관련 엔지니어 구함 [400백] 인센티브제,http://www.jobkorea.co.kr//Recruit/GI_Read/30489522?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 광주시 외,~01/09(목)
114,보보스링크㈜,"(삼성역) 외국계 IT기업 자율 자동차 QA,엔지니어 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30487991?Oem_Code=C1&logpath=1,경력,대졸↑,서울 전지역,~12/17(화)
115,㈜와이즈케어,4차원적인 마인드의 기획자를 찾습니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30483763?Oem_Code=C1&logpath=1,신입·경력,학력무관,경기 성남시,~01/09(목)
116,시크릿타운㈜,AR/VR 클라이언트 프로그래머 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30481406?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 성남시,~01/08(수)
117,㈜스쿨버스,"세이프 스쿨버스 서버, 웹, 모바일 개발자 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30475360?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 전지역,~01/08(수)
118,유니웹스㈜,웹 프로그래머 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30475144?Oem_Code=C1&logpath=1,경력,초대졸↑,서울 송파구,~12/15(일)
119,㈜에코정보기술,[경력]RPA 개발자 채용 공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30463520?Oem_Code=C1&logpath=1,경력,학력무관,서울 강남구,~01/05(일)
120,㈜바이널씨,데이터분석가 (신입/경력) 채용 12/31.,http://www.jobkorea.co.kr//Recruit/GI_Read/30461576?Oem_Code=C1&logpath=1,신입·경력2년↑,초대졸↑,서울 강남구,~12/31(화)
