,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
44,유브갓프렌즈㈜,회사에서 함께할 신입.경력 개발자를 모집합니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30413304?Oem_Code=C1&logpath=1,신입·경력1년↑,초대졸↑,서울 금천구,~01/01(수)
45,㈜에스알포스트,자연어처리 및 머신러닝 개발자 모집(경력직),http://www.jobkorea.co.kr//Recruit/GI_Read/30411589?Oem_Code=C1&logpath=1,경력1년↑,초대졸↑,서울 구로구,~01/01(수)
46,메가존㈜,[메가존] 인공지능 플랫폼 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30394504?Oem_Code=C1&logpath=1,경력4년↑,학력무관,서울 강남구,~12/31(화)
47,나임네트웍스,2019 하반기 나임네트웍스 엔지니어 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30396425?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 강남구,~12/31(화)
48,이화트론㈜,AI 솔루션 개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30383367?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 금천구,~01/27(월)
49,㈜에이아이더,인공지능 기업 영업(세일즈) 직원 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30365454?Oem_Code=C1&logpath=1,경력7년↑,대졸↑,서울 강남구,~12/27(금)
50,버넥트,"3D 컴퓨터 비전 개발, 딥러닝 엔지니어/솔루션 개발, 데이터 분석(전문연 가능)",http://www.jobkorea.co.kr//Recruit/GI_Read/30363810?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 용산구,상시채용
51,리얼타임비쥬얼㈜,"인공지능/딥러닝, 자율지능 드론/로봇, 시뮬레이션 연구개발 인재 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30342926?Oem_Code=C1&logpath=1,경력무관,석사↑,서울 마포구,~01/24(금)
52,패스트캠퍼스㈜,부문별 신입/경력 정규직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30324293?Oem_Code=C1&logpath=1,신입·경력,학력무관,경기 전지역,~12/16(월)
53,㈜에이아이더,머신러닝 데이터분석 전문가 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30321675?Oem_Code=C1&logpath=1,경력5년↑,대졸↑,서울 영등포구,~12/21(토)
54,에스올소㈜,딥러닝 & Graphics SW Engineer 채용 공지,http://www.jobkorea.co.kr//Recruit/GI_Read/30303896?Oem_Code=C1&logpath=1,경력1년↑,학력무관,서울 성동구,~01/19(일)
