,0,1,2,3,4
233,面条(儿),/zh/entry?entryID=c_3fffb8e2ae86,miàntiáo(r),국수.,2급
234,男,/zh/entry?entryID=c_3ef7bce2ac7f,nán,남자.사내.남성.,2급
235,您,/zh/entry?entryID=c_3ef4bdeead8a,nín,당신.선생님.귀하.2인칭대명사‘你’의존칭,2급
236,牛奶,/zh/entry?entryID=c_3ef4bbe5ae80,niúnǎi,우유.쇠젖.,2급
237,女,/zh/entry?entryID=c_3ef4b6e7a877,nǚ,여자.여성.,2급
238,旁边(儿),/zh/entry?entryID=c_3ef5bbe3a97a,pángbiān(r),옆.곁.근처.부근.,2급
239,跑步,/zh/entry?entryID=c_3ef5b8e1ac78,pǎobù,달리다.구보하다.,2급
240,便宜,/zh/entry?entryID=c_3ef2bbe0a873,piányi,(값이)싸다.헐하다.,2급
241,票,/zh/entry?entryID=c_3ef2b9e4a471,piào,표.티켓(ticket).증서.증명서.어음.수표.주식.유가증권.,2급
242,千,/zh/entry?entryID=c_3ef0b8e5ac77,qiān,1,000.천.
243,铅笔,/zh/entry?entryID=c_3ef0b9efab81,qiānbǐ,연필.,2급
244,起床,/zh/entry?entryID=c_3ef0bfefaf8b,qǐchuáng,(잠자리에서)일어나다.,2급
245,晴,/zh/entry?entryID=c_3efebbe3ac86,qíng,하늘이맑다.,2급
246,妻子,/zh/entry?entryID=c_3ef3b9e7a97a,qīzi,아내.,2급
247,去年,/zh/entry?entryID=c_3effbce5a987,qùnián,작년.,2급
248,让,/zh/entry?entryID=c_3effb9e0a57b,ràng,사양하다.양보하다.,2급
249,日,/zh/entry?entryID=c_3df6bae4ab7c,rì,태양.해.,2급
250,上班(儿),/zh/entry?entryID=c_3df4b6e3af79,shàngbān(r),출근하다.,2급
251,生病,/zh/entry?entryID=c_3df2bfe2ae7e,shēngbìng,병이나다.발병하다.병에걸리다.,2급
252,生日,/zh/entry?entryID=c_3df2bce0ab76,shēngrì,생일.,2급
253,身体,/zh/entry?entryID=c_3df5b9e6ab7c,shēntǐ,몸.신체.,2급
254,时间,/zh/entry?entryID=c_3df3bfefaa88,shíjiān,시간.,2급
255,事情,/zh/entry?entryID=c_3df3b9e0a972,shìqing,일.사건.,2급
256,手表,/zh/entry?entryID=c_3df0bce2ac77,shǒubiǎo,손목시계.,2급
257,手机,/zh/entry?entryID=c_3df0bceea47b,shǒujī,휴대폰.휴대전화기.,2급
258,说话,/zh/entry?entryID=c_3dfebfeeaf97,shuōhuà,말하다.이야기하다.,2급
259,送,/zh/entry?entryID=c_3dfeb7e2a579,sòng,배웅하다.전송하다.데려다주다.,2급
260,虽然,/zh/entry?entryID=c_3dffbae7aa87,suīrán,비록…하지만〔일지라도〕.설령…일지라도.,2급
261,所以,/zh/entry?entryID=c_3dffb8e0af83,suǒyǐ,그래서.그러므로.그런까닭에.때문에.보통‘因为〔由于〕…,所以…’...
262,它,/zh/entry?entryID=c_3dffb9e1ad83,tā,그.저.그것.저것.사람이외의것을가리킴,2급
263,题,/zh/entry?entryID=c_3cf7bce6ac81,tí,제목.,2급
264,跳舞,/zh/entry?entryID=c_3cf4bee2ac7c,tiàowǔ,춤을추다.,2급
265,踢足球,/zh/entry?entryID=c_3cf8bbe6ac0d8e,tīzúqiú,축구를하다.,2급
266,外,/zh/entry?entryID=c_3cf2bde4ac7b,wài,겉.밖.바깥.,2급
267,完,/zh/entry?entryID=c_3cf2b8e6a975,wán,다소모하다.다하다.없어지다.다떨어지다.,2급
268,玩,/zh/entry?entryID=c_3cf2b8e2af77,wán,(손에가지고)놀다.장난하다.,2급
269,往,/zh/entry?entryID=c_3cf3bee1a472,wǎng,(…로)향하다.,2급
270,晚上,/zh/entry?entryID=c_3cf2b9efa97f,wǎnshang,저녁.17시〜20시,2급
271,为什么,/zh/entry?entryID=c_3cf3b9e3a46f,wèishénme,왜.무엇때문에.어째서.원인이나목적을묻는데쓰임,2급
