id,0,1
107,试,"['[ shì ]', '1.시험하다 \xa0 2.시험 \xa0 3.재다 \xa0 4.당·송대 관제의 하나']"
108,抱,"['[ bào ]', '1.안다 \xa0 2.처음으로 얻다 \xa0 3.양자로 삼다 \xa0 4.한데 뭉치다']"
109,医,"['[ yī ]', '1.의사 \xa0 2.의학 \xa0 3.치료하다 \xa0 4.성']"
110,通,"['[ tōng ]', '1.관통하다 \xa0 2.상통하다 \xa0 3.뚫다 \xa0 4.잇다']"
111,体,"['[ tǐ ]', '1.몸 \xa0 2.물체 \xa0 3.자체 \xa0 4.체제']"
112,乐,"['[ lè ]', '1.즐겁다 \xa0 2.즐기다 \xa0 3.즐거움 \xa0 4.웃다']"
113,并,"['[ bìng ]', '1.합치다 \xa0 2.나란히 하다 \xa0 3.같이 \xa0 4.결코']"
114,三,"['[ sān ]', '1.3 \xa0 2.셋 \xa0 3.재삼 \xa0 4.여러 번']"
115,早,"['[ zǎo ]', '1.아침 \xa0 2.일찍이 \xa0 3.조기의 \xa0 4.이르다']"
116,门,"['[ mén ]', '1.출입구 \xa0 2.개폐기 \xa0 3.비결 \xa0 4.문벌']"
117,约,"['[ yuē ]', '1.약속하다 \xa0 2.초대하다 \xa0 3.약속 \xa0 4.구속하다']"
118,字,"['[ zì ]', '1.글자 \xa0 2.글자의 발음 \xa0 3.자체 \xa0 4.서예']"
119,呃,"['[ kěn ]', '1.뼈에 붙어 있는 살 \xa0 2.승낙하다 \xa0 3.기꺼이 … 하다 \xa0 4.곧잘 …하다']"
120,肯,"['[ mù ]', '1.눈 \xa0 2.보다 \xa0 3.주시하다 \xa0 4.눈짓을 하다']"
121,目,"['[ xiào ]', '1.웃다 \xa0 2.비웃다 \xa0 3.웃음']"
122,笑,"['[ shāng ]', '1.상처 \xa0 2.상하다 \xa0 3.남의 감정을 상하게 하다 \xa0 4.슬퍼하다']"
123,伤,"['[ shén ]', '1.신 \xa0 2.신비롭다 \xa0 3.정신 \xa0 4.안색']"
124,神,"['[ fù ]', '1.아버지 \xa0 2.아버지 항렬 이상의 남자 \xa0 3.노인에 대한 존칭']"
125,父,"['[ zhǐ ]', '1.손가락 \xa0 2.손가락 굵기 \xa0 3.가리키다 \xa0 4.곤두서다']"
126,号,"['[ hào ]', '1.이름 \xa0 2.호 \xa0 3.상점 \xa0 4.표시']"
127,世,"['[ shì ]', '1.대 \xa0 2.대대 \xa0 3.대대로 교분이 있는 집안 \xa0 4.일생']"
128,远,"['[ yuǎn ]', '1.오래다 \xa0 2.멀다 \xa0 3.심원하다 \xa0 4.크다']"
129,片,"['[ piàn ]', '1.조각 \xa0 2.나누어진 지역 \xa0 3.얇게 자르다 \xa0 4.불완전하다']"
130,官,"['[ guān ]', '1.관리 \xa0 2.관청의 \xa0 3.공동의 \xa0 4.관직에 오르다']"
131,口,"['[ kǒu ]', '1.말 \xa0 2.요리나 반찬의 맛 \xa0 3.주둥이 \xa0 4.출입구']"
132,师,"['[ shī ]', '1.스승 \xa0 2.본 \xa0 3.…가 \xa0 4.스님']"
133,原,"['[ yuán ]', '1.최초의 \xa0 2.원래 \xa0 3.가공하지 않은 \xa0 4.근원']"
134,酒,"['[ jiǔ ]', '1.술 \xa0 2.팅크 \xa0 3.성']"
135,周,"['[ zhōu ]', '1.주 \xa0 2.주위 \xa0 3.원 \xa0 4.돌다']"
136,星,"['[ xīng ]', '1.천체 \xa0 2.별 \xa0 3.부스러기 \xa0 4.스타']"
137,识,"['[ shí ]', '1.알다 \xa0 2.견식 \xa0 3.친구 \xa0 4.표기']"
138,赛,"['[ sài ]', '1.시합하다 \xa0 2.비기다 \xa0 3.경기 \xa0 4.싸이']"
139,救,"['[ jiù ]', '1.구하다 \xa0 2.돕다 \xa0 3.도움 \xa0 4.막다']"
140,底,"['[ dǐ ]', '1.밑 \xa0 2.속사정 \xa0 3.기초 \xa0 4.사전 계획']"
141,棒,"['[ bàng ]', '1.막대기 \xa0 2.높다 \xa0 3.옥수수 \xa0 4.굳다']"
142,须,"['[ xū ]', '1.반드시 …하여야 한다 \xa0 2.반드시 \xa0 3.본래 \xa0 4.마침내']"
143,收,"['[ shōu ]', '1.거두어들이다 \xa0 2.취하다 \xa0 3.얻다 \xa0 4.수확']"
144,交,"['[ jiāo ]', '1.넘기다 \xa0 2.맡기다 \xa0 3.되다 \xa0 4.인접하다']"
145,坐,"['[ zuò ]', '1.앉다 \xa0 2.타다 \xa0 3.위치하다 \xa0 4.올려놓다']"
146,停,"['[ tíng ]', '1.멎다 \xa0 2.머물다 \xa0 3.서다 \xa0 4.정비하다']"
147,卡,"['[ kǎ ]', '1.억류하다 \xa0 2.조르다 \xa0 3.카드 \xa0 4.트럭']"
148,尼,"['[ ní ]', '1.비구니 \xa0 2.여승 \xa0 3.음역자']"
149,婚,"['[ hūn ]', '1.결혼하다 \xa0 2.혼인']"
150,格,"['[ gé ]', '1.격자 \xa0 2.표준 \xa0 3.품성 \xa0 4.장애']"
151,得,"['[ dé ]', '1.얻다 \xa0 2.계산하여 값을 얻다 \xa0 3.알맞다 \xa0 4.득의하다']"
152,过,"['[ guò ]', '1.방문하다 \xa0 2.지나다 \xa0 3.겪다 \xa0 4.갑에서 을로 옮기다']"
153,吧,"['[ ‧ba ]', '1.구말에 쓰여 상의·제의·청구·명령·독촉의 어기를 나타냄 \xa0 2.구말에 쓰여 동의 또는 승낙의 어기를 나타냄']"
154,还,"['[ hái ]', '1.아직 \xa0 2.더 \xa0 3.또 \xa0 4.…뿐만 아니라 …도']"
155,对,"['[ duì ]', '1.대답하다 \xa0 2.대하다 \xa0 3.향하다 \xa0 4.서로 맞서다']"
156,里,"['[ lǐ ]', '1.속 \xa0 2.거친 면 \xa0 3.가운데 \xa0 4.이웃']"
157,以,"['[ yǐ ]', '1.…로 \xa0 2.…에게 …을 주다 \xa0 3.…에 따라 \xa0 4.…때문에']"
158,都,"['[ dōu ]', '1.모두 \xa0 2.앞의 사람이나 사물을 총괄함 \xa0 3.‘是’와 연용해서 이유를 설명함']"
159,事,"['[ shì ]', '1.일 \xa0 2.사고 \xa0 3.직업 \xa0 4.관계']"
160,子,"['[ zǐ ]', '1.아들 \xa0 2.사람에 대한 통칭 \xa0 3.어떤 종류의 직업인에 대한 호칭 \xa0 4.고대, 남자에 대한 미칭']"
161,生,"['[ shēng ]', '1.낳다 \xa0 2.생기다 \xa0 3.발생하다 \xa0 4.삶']"
162,时,"['[ shí ]', '1.때 \xa0 2.시간 \xa0 3.계절 \xa0 4.당대']"
163,样,"['[ yàng ]', '1.모양 \xa0 2.본보기 \xa0 3.종류 \xa0 4.성']"
164,也,"['[ yě ]', '1.판단·결정의 어기를 표시 \xa0 2.의문·반문의 어기를 표시 \xa0 3.감탄의 어기를 표시']"
165,和,"['[ hé ]', '1.평화롭다 \xa0 2.부드럽다 \xa0 3.조화롭다 \xa0 4.화해하다']"
166,下,"['[ xià ]', '1.밑 \xa0 2.저급 \xa0 3.나중 \xa0 4.밑으로']"
167,真,"['[ zhēn ]', '1.진실하다 \xa0 2.정말 \xa0 3.또렷하다 \xa0 4.진']"
168,现,"['[ xiàn ]', '1.현재 \xa0 2.임시로 \xa0 3.현재 지니고 있는 \xa0 4.현금']"
169,做,"['[ zuò ]', '1.제조하다 \xa0 2.짓다 \xa0 3.하다 \xa0 4.행하다']"
170,大,"['[ dà ]', '1.크다 \xa0 2.크기 \xa0 3.크게 하다 \xa0 4.크게']"
171,啊,"['[ ‧a ]', '1.문장의 끝에 쓰여 감탄·찬탄 따위의 어세를 도움 \xa0 2.평서문·의문문·명령문의 끝에 쓰여 어기를 나타냄 \xa0 3.의문의 어기를 나타냄']"
172,怎,"['[ zěn ]', '1.왜 \xa0 2.어째서 \xa0 3.어떻게 \xa0 4.어찌하여']"
173,点,"['[ diǎn ]', '1.방울 \xa0 2.작은 얼룩 \xa0 3.한자의 자획의 하나인 점 \xa0 4.점']"
