id,rel
2301.0,"[108, 244]"
2891.0,[108]
3128.0,"[108, 109]"
1812.0,[109]
3118.0,[109]
3132.0,[109]
3201.0,[109]
3545.0,[109]
3706.0,[110]
1152.0,[111]
3946.0,[111]
4676.0,[111]
1449.0,[112]
781.0,[113]
2724.0,"[114, 262]"
1061.0,[115]
1665.0,[115]
2254.0,"[115, 273]"
3618.0,[115]
3953.0,"[115, 310]"
3977.0,"[115, 209]"
4746.0,[115]
2507.0,[116]
3226.0,[116]
3232.0,"[116, 146]"
3458.0,"[117, 278]"
3510.0,[117]
861.0,"[118, 158]"
921.0,"[118, 158, 176]"
1066.0,"[118, 158]"
1403.0,"[118, 158]"
1469.0,"[118, 158]"
2058.0,"[118, 158]"
2149.0,"[118, 158, 189]"
2150.0,"[118, 158]"
2286.0,"[118, 158]"
4364.0,"[118, 158]"
4365.0,"[118, 158]"
4377.0,"[118, 158]"
4379.0,"[118, 158]"
4380.0,"[118, 131, 158]"
4381.0,"[118, 158]"
4382.0,"[118, 158]"
4383.0,"[118, 158]"
1963.0,"[119, 257]"
1965.0,"[119, 257]"
2368.0,"[119, 257, 531]"
2689.0,"[119, 257]"
2690.0,"[119, 257]"
3992.0,"[119, 257]"
1363.0,"[121, 123]"
1455.0,"[121, 123]"
1485.0,"[121, 123]"
1486.0,"[121, 123]"
1680.0,"[121, 123]"
1962.0,"[121, 123]"
2054.0,"[121, 123]"
2055.0,"[121, 123, 404]"
2056.0,"[121, 123]"
2057.0,"[121, 123, 143]"
2165.0,"[121, 123]"
2452.0,"[121, 123]"
2512.0,"[121, 123]"
2708.0,"[121, 123]"
2711.0,"[121, 123]"
2713.0,"[121, 123]"
2714.0,"[121, 123]"
2717.0,"[121, 123]"
2718.0,"[121, 123, 256]"
2729.0,"[121, 123, 469]"
2797.0,"[121, 123]"
735.0,[124]
871.0,"[124, 360]"
1851.0,[124]
2019.0,[124]
3743.0,[124]
3744.0,"[124, 479]"
3757.0,[124]
3794.0,[124]
3795.0,[124]
3822.0,[124]
4230.0,[124]
3250.0,[125]
3812.0,[125]
1997.0,[126]
2874.0,[126]
3557.0,[126]
4344.0,[126]
4243.0,"[127, 201]"
950.0,"[128, 505]"
951.0,[128]
1424.0,"[128, 281]"
3641.0,[128]
3751.0,"[128, 230]"
3849.0,[128]
3852.0,[128]
3906.0,[128]
4359.0,[128]
1173.0,[129]
1686.0,[129]
2789.0,[129]
3125.0,[129]
953.0,[130]
830.0,"[131, 146]"
1578.0,[131]
1601.0,[131]
1616.0,[131]
1759.0,"[131, 360]"
1768.0,[131]
2783.0,[131]
3862.0,[131]
3870.0,[131]
4170.0,[131]
4374.0,[131]
1484.0,[132]
1722.0,"[133, 416]"
1948.0,"[133, 162]"
2154.0,[133]
2758.0,[133]
2950.0,[133]
4596.0,[133]
955.0,[134]
956.0,[134]
991.0,[134]
994.0,"[134, 281]"
1248.0,"[134, 160, 161]"
1822.0,[134]
3078.0,[134]
3204.0,[134]
3595.0,"[134, 465]"
3949.0,[134]
3968.0,[134]
4120.0,"[134, 432]"
1110.0,[137]
1422.0,[137]
1448.0,"[137, 162]"
1450.0,"[137, 226]"
1452.0,[137]
1673.0,[137]
1888.0,[137]
1894.0,"[137, 179]"
1898.0,[137]
1907.0,[137]
1924.0,[137]
3191.0,[137]
3378.0,"[137, 416]"
4217.0,[137]
4218.0,[137]
4219.0,[137]
4222.0,"[137, 152]"
1274.0,"[138, 216]"
3692.0,[139]
948.0,"[140, 197]"
1404.0,"[140, 197]"
1405.0,"[140, 197]"
1589.0,"[140, 197]"
1720.0,"[140, 197]"
1869.0,"[140, 197]"
1881.0,"[140, 197]"
2396.0,"[140, 197]"
2878.0,"[140, 197]"
3410.0,"[140, 197]"
4143.0,"[140, 197]"
4696.0,"[140, 197]"
929.0,[141]
1170.0,[141]
1265.0,[141]
1969.0,"[141, 189]"
2018.0,[141]
2849.0,[141]
2964.0,[141]
2988.0,[141]
2989.0,[141]
3199.0,[141]
4186.0,[141]
4282.0,"[141, 226]"
4458.0,"[141, 516]"
1002.0,[142]
1039.0,[142]
1427.0,[142]
1502.0,"[142, 299]"
1503.0,[142]
1698.0,[142]
1844.0,[142]
1940.0,[142]
1982.0,[142]
922.0,[143]
1041.0,[143]
1415.0,[143]
1833.0,[143]
2977.0,"[143, 281]"
2978.0,[143]
2987.0,"[143, 404]"
3979.0,"[143, 356]"
920.0,[144]
2946.0,[144]
3244.0,"[144, 277]"
4668.0,[144]
2518.0,[145]
1757.0,[146]
2120.0,[146]
2421.0,[146]
2937.0,[146]
3308.0,[146]
4602.0,[146]
4346.0,[152]
3423.0,[153]
3424.0,"[153, 470]"
3425.0,[153]
987.0,[154]
2574.0,[154]
889.0,[155]
1269.0,"[155, 490]"
1451.0,[155]
1750.0,[155]
2407.0,[155]
3464.0,[155]
3568.0,[155]
3573.0,[155]
3576.0,[155]
999.0,[156]
1217.0,[156]
1350.0,"[156, 244]"
2445.0,"[156, 262]"
2454.0,[156]
3298.0,"[156, 281]"
3301.0,[156]
3377.0,[156]
3624.0,[156]
4281.0,[156]
1591.0,[157]
938.0,[162]
1020.0,[162]
1042.0,[162]
1202.0,[162]
1219.0,[162]
1331.0,[162]
1332.0,[162]
1947.0,[162]
1960.0,[162]
1980.0,[162]
1996.0,"[162, 373]"
1999.0,[162]
2000.0,[162]
2001.0,[162]
2361.0,[162]
2621.0,"[162, 496]"
2623.0,[162]
2624.0,[162]
2625.0,[162]
2635.0,"[162, 451]"
2839.0,[162]
2876.0,[162]
3002.0,[162]
3076.0,[162]
3305.0,[162]
3621.0,[162]
3764.0,[162]
3765.0,[162]
3766.0,"[162, 342]"
3767.0,[162]
3768.0,[162]
3770.0,[162]
4391.0,"[162, 547]"
4632.0,[162]
2282.0,[163]
1488.0,[164]
1558.0,[164]
2805.0,[164]
1694.0,[168]
2970.0,[168]
3400.0,[168]
3402.0,[168]
4495.0,[168]
1233.0,[169]
930.0,[171]
1998.0,[171]
2005.0,[171]
2012.0,[171]
2722.0,[171]
2798.0,[171]
3000.0,[171]
3032.0,[171]
3039.0,"[171, 408]"
3045.0,[171]
730.0,"[172, 219]"
1297.0,[172]
4336.0,[172]
4548.0,[173]
1019.0,[174]
1326.0,[174]
1327.0,[174]
1821.0,[174]
2786.0,[174]
3176.0,[174]
4192.0,[174]
4444.0,[174]
1223.0,[176]
1224.0,[176]
1385.0,"[176, 282]"
2408.0,[176]
2586.0,[176]
2907.0,[176]
3356.0,[176]
3859.0,"[176, 223]"
4550.0,[176]
3092.0,[178]
1209.0,[179]
1715.0,"[179, 430]"
2299.0,"[179, 247]"
2437.0,[179]
2822.0,[179]
3097.0,[179]
3236.0,[179]
3239.0,[179]
3240.0,[179]
3805.0,[179]
4482.0,[179]
1137.0,[180]
1396.0,"[180, 347]"
1521.0,[180]
1543.0,[180]
1555.0,[180]
1572.0,[180]
1736.0,[180]
2212.0,[180]
3332.0,[180]
3711.0,[180]
4569.0,[180]
4585.0,[180]
1564.0,[182]
1842.0,[182]
2068.0,[182]
3586.0,[182]
3593.0,"[182, 432]"
2709.0,[183]
3672.0,[184]
1976.0,[186]
2257.0,"[186, 273]"
1010.0,"[187, 404]"
1011.0,[187]
1012.0,[187]
1490.0,[187]
1491.0,[187]
1663.0,[187]
1930.0,"[187, 351]"
2016.0,[187]
2061.0,"[187, 221]"
2062.0,[187]
2065.0,[187]
2066.0,[187]
2067.0,[187]
2207.0,[187]
2636.0,[187]
2672.0,[187]
2706.0,[187]
2770.0,[187]
3609.0,"[187, 463]"
3750.0,[187]
4459.0,"[187, 532]"
2119.0,[188]
4031.0,[188]
4034.0,[188]
4481.0,[188]
734.0,[189]
1412.0,[189]
1816.0,[189]
1889.0,[189]
2045.0,[189]
2046.0,[189]
2047.0,[189]
2059.0,"[189, 496]"
3517.0,[189]
3778.0,[189]
3779.0,[189]
4032.0,"[189, 379]"
4041.0,[189]
4042.0,[189]
4056.0,[189]
4060.0,[189]
4061.0,[189]
4062.0,[189]
4109.0,[189]
4277.0,[189]
4667.0,"[189, 216]"
2008.0,[192]
2830.0,"[192, 222]"
3038.0,[192]
2688.0,[193]
1318.0,[194]
1476.0,[194]
3626.0,[194]
3543.0,[195]
4260.0,[195]
4263.0,[195]
3889.0,[196]
4477.0,[196]
1300.0,[198]
2116.0,[198]
2497.0,"[198, 422]"
2567.0,[198]
3093.0,[198]
3912.0,[199]
1060.0,[200]
2792.0,[201]
3300.0,[201]
3462.0,[201]
740.0,[202]
1439.0,[202]
2486.0,[202]
2487.0,[202]
2491.0,[202]
2496.0,[202]
4125.0,[202]
2606.0,[206]
3865.0,[206]
3884.0,[206]
4214.0,[206]
2136.0,"[207, 519]"
743.0,[208]
1540.0,"[208, 648]"
2229.0,[208]
4102.0,[208]
1328.0,"[209, 404]"
2596.0,[209]
3486.0,[209]
3954.0,[209]
3993.0,[209]
1631.0,[211]
4239.0,[211]
2812.0,[212]
3933.0,[212]
4505.0,[212]
1783.0,"[215, 404]"
759.0,[217]
1431.0,"[217, 432]"
1732.0,[217]
3147.0,[217]
3342.0,[217]
3351.0,[217]
3583.0,[217]
3919.0,[217]
847.0,[219]
3233.0,[220]
1138.0,"[221, 254]"
1765.0,[221]
1766.0,[221]
1927.0,[221]
2784.0,"[221, 404]"
2992.0,[221]
3287.0,[221]
3455.0,[221]
3735.0,[221]
3802.0,[221]
965.0,"[222, 522]"
966.0,[222]
967.0,[222]
1322.0,[222]
1682.0,[222]
2028.0,[222]
