id,rel
4071,"[74, 270]"
,
4077,[74]
,
4078,[74]
,
4108,[74]
,
885,[75]
,
848,[76]
,
1205,[76]
,
2076,[76]
,
2412,[76]
,
2413,"[76, 264]"
,
3416,[76]
,
3440,[76]
,
3843,[76]
,
4427,[76]
,
4293,[78]
,
1438,[80]
,
2185,"[80, 417]"
,
3221,"[80, 330]"
,
3261,[80]
,
3275,[80]
,
969,"[81, 118, 158]"
,
2339,[81]
,
2461,[81]
,
1786,[82]
,
2304,[82]
,
3556,[82]
,
4132,[82]
,
4671,[82]
,
4672,[82]
,
4674,[82]
,
752,[84]
,
897,"[84, 531]"
,
2439,[84]
,
2633,"[84, 417]"
,
2734,[84]
,
3533,[84]
,
3877,[84]
,
4064,[84]
,
4587,[84]
,
4749,[84]
,
794,"[85, 290]"
,
1044,"[85, 290]"
,
1255,"[85, 290]"
,
1313,"[85, 290]"
,
1494,"[85, 290]"
,
1677,"[85, 290]"
,
2685,"[85, 290]"
,
2691,"[85, 290]"
,
3839,"[85, 290]"
,
4546,"[85, 290]"
,
4570,"[85, 176, 290]"
,
811,[86]
,
1184,[86]
,
1204,[86]
,
1685,[86]
,
1848,"[86, 266]"
,
2529,[86]
,
3234,[86]
,
4128,[86]
,
1353,[87]
,
1370,[88]
,
2224,[88]
,
3748,[88]
,
4715,"[88, 303]"
,
1668,[89]
,
2735,[89]
,
3983,"[89, 315]"
,
1910,[91]
,
1911,[91]
,
1913,"[91, 301]"
,
1914,[91]
,
2551,[91]
,
4051,[91]
,
4207,[91]
,
2210,[92]
,
2213,"[92, 102]"
,
3146,[92]
,
1230,[93]
,
4223,"[93, 137]"
,
940,[94]
,
1059,[94]
,
1669,[94]
,
1670,[94]
,
1691,[94]
,
4731,[94]
,
4732,[94]
,
1096,[95]
,
1577,[95]
,
1664,[95]
,
1671,"[95, 273]"
,
1917,[95]
,
2083,[95]
,
2617,[95]
,
3197,[95]
,
4724,[95]
,
4725,"[95, 342]"
,
4726,[95]
,
4728,"[95, 209]"
,
2604,[96]
,
4531,[96]
,
1272,[97]
,
1923,"[97, 134]"
,
2590,[97]
,
2893,[97]
,
4208,[97]
,
4212,[97]
,
4251,"[97, 228]"
,
4529,[97]
,
3325,[98]
,
4204,"[99, 185]"
,
4290,"[99, 185]"
,
4378,"[99, 185]"
,
973,[100]
,
4001,[100]
,
4039,"[101, 189]"
,
1071,"[102, 231]"
,
1567,"[102, 485]"
,
1769,[102]
,
2318,"[102, 436]"
,
2386,[102]
,
2875,[102]
,
3821,[102]
,
4043,[102]
,
4164,[102]
,
1243,[103]
,
1809,[103]
,
2752,[103]
,
799,[104]
,
892,"[104, 283]"
,
1211,[104]
,
2233,[104]
,
2327,[104]
,
2328,[104]
,
2329,[104]
,
3664,[104]
,
4665,[104]
,
927,[106]
,
1912,[106]
,
2221,"[106, 268]"
,
2289,[106]
,
2748,[106]
,
4175,[106]
,
1387,"[107, 342]"
,
1915,[107]
,
2037,[107]
,
2269,[107]
,
2479,"[107, 179]"
,
2651,[107]
,
2823,[107]
,
3066,"[107, 301]"
,
3133,[107]
,
3915,"[107, 217]"
,
986,"[108, 154]"
,
1043,[108]
,
2268,[108]
,
2301,"[108, 244]"
,
2891,[108]
,
3128,"[108, 109]"
,
1812,[109]
,
3118,[109]
,
3132,[109]
,
3201,[109]
,
3545,[109]
,
3706,[110]
,
1152,[111]
,
3946,[111]
,
4676,[111]
,
1449,[112]
,
781,[113]
,
2724,"[114, 262]"
,
1061,[115]
,
1665,[115]
,
2254,"[115, 273]"
,
3618,[115]
,
3953,"[115, 310]"
,
3977,"[115, 209]"
,
4746,[115]
,
2507,[116]
,
3226,[116]
,
3232,"[116, 146]"
,
3458,"[117, 278]"
,
3510,[117]
,
861,"[118, 158]"
,
921,"[118, 158, 176]"
,
1066,"[118, 158]"
,
1403,"[118, 158]"
,
1469,"[118, 158]"
,
2058,"[118, 158]"
,
2149,"[118, 158, 189]"
,
2150,"[118, 158]"
,
2286,"[118, 158]"
,
4364,"[118, 158]"
,
4365,"[118, 158]"
,
4377,"[118, 158]"
,
4379,"[118, 158]"
,
4380,"[118, 131, 158]"
,
4381,"[118, 158]"
,
4382,"[118, 158]"
,
4383,"[118, 158]"
,
1963,"[119, 257]"
,
1965,"[119, 257]"
,
2368,"[119, 257, 531]"
,
2689,"[119, 257]"
,
2690,"[119, 257]"
,
3992,"[119, 257]"
,
1363,"[121, 123]"
,
1455,"[121, 123]"
,
1485,"[121, 123]"
,
1486,"[121, 123]"
,
1680,"[121, 123]"
,
1962,"[121, 123]"
,
2054,"[121, 123]"
,
2055,"[121, 123, 404]"
,
2056,"[121, 123]"
,
2057,"[121, 123, 143]"
,
2165,"[121, 123]"
,
2452,"[121, 123]"
,
2512,"[121, 123]"
,
2708,"[121, 123]"
,
2711,"[121, 123]"
,
2713,"[121, 123]"
,
2714,"[121, 123]"
,
2717,"[121, 123]"
,
2718,"[121, 123, 256]"
,
2729,"[121, 123, 469]"
,
2797,"[121, 123]"
,
735,[124]
,
871,"[124, 360]"
,
1851,[124]
,
2019,[124]
,
3743,[124]
,
3744,"[124, 479]"
,
3757,[124]
,
3794,[124]
,
3795,[124]
,
3822,[124]
,
4230,[124]
,
3250,[125]
,
3812,[125]
,
1997,[126]
,
2874,[126]
,
3557,[126]
,
4344,[126]
,
4243,"[127, 201]"
,
950,"[128, 505]"
,
951,[128]
,
1424,"[128, 281]"
,
3641,[128]
,
3751,"[128, 230]"
,
3849,[128]
,
3852,[128]
,
3906,[128]
,
4359,[128]
,
1173,[129]
,
1686,[129]
,
2789,[129]
,
3125,[129]
,
953,[130]
,
830,"[131, 146]"
,
1578,[131]
,
1601,[131]
,
1616,[131]
,
1759,"[131, 360]"
,
1768,[131]
,
2783,[131]
,
3862,[131]
,
3870,[131]
,
4170,[131]
,
4374,[131]
,
1484,[132]
,
1722,"[133, 416]"
,
1948,"[133, 162]"
,
2154,[133]
,
2758,[133]
,
2950,[133]
,
4596,[133]
,
955,[134]
,
956,[134]
,
991,[134]
,
994,"[134, 281]"
,
1248,"[134, 160, 161]"
,
1822,[134]
,
3078,[134]
,
3204,[134]
,
3595,"[134, 465]"
,
3949,[134]
,
3968,[134]
,
4120,"[134, 432]"
,
1110,[137]
,
1422,[137]
,
1448,"[137, 162]"
,
1450,"[137, 226]"
,
1452,[137]
,
1673,[137]
,
